Venue,City,Team,Capacity
Estadio El Sadar,Pamplona,Osasuna,23 516
Estadio Nuevo Los Cármenes,Granada,Granada CF,22 524
Estadio de la Ceramica,Villarreal,Villarreal,23 000
Estadio Nuevo Mirandilla,Cadiz,Cadiz CF,20 776
ArcelorMittal Park,Sosnowiec,Rakow,11 600
Estadi Olímpic Lluís Companys,Barcelona,Barcelona,54 367
Stadiumi Fadil Vokrri,Pristina,FC Ballkani,13 980
Rams Park,Istanbul,Galatasaray,52 280
Volksparkstadion,Hamburg,Shakhtar Donetsk,57 274
Olympiastadion,Berlin,Union Berlin,74 475
Kosicka futbalova arena,Košice,Dnipro-1,5 836
Bosuilstadion,Antwerp,Antwerp,16 144
Estádio Municipal de Braga,Braga,Braga,30 286
Apostolos Nikolaidis Stadium,Athens,Panathinaikos,16 003
Brianteo,Monza,Monza,16 917
Stadio Via del Mare,Lecce,Lecce,40 670
Stadio Giovanni Zini,Cremona,Cremonese,20 641
Stadio Arechi,Salerno,Salernitana,37 800
Stadio Pierluigi Penzo,Venice,Venezia,11 150
Craven Cottage,London,Fulham,26 600
The Hawthorns,West Bromwich,West Brom,26 688
Estadio Municipal de Butarque,Leganes,Leganes,12 454
City Ground,Nottingham,Nottingham,30 404
Kenilworth Road,Luton,Luton,11 500
John Smith's Stadium,Huddersfield,Huddersfield,24 121
Bet365 Stadium,Stoke on Trent,Stoke,30 089
Wembley Stadium,London,Tottenham,90 000
NSC Olimpiyskiy Stadium,Kyiv,Dyn. Kyiv,70 050
Sheriff Arena,Tiraspol,Sheriff Tiraspol,14 000
Stadion Wankdorf,Bern,Young Boys,32 000
Almaty Central Stadium,Almaty,Kairat Almaty,23 804
Eleda Stadion,Malmö,Malmo FF,22 500
Stade de France,Paris - Saint-Denis,Liverpool,81 338
Tupras Stadium,Istanbul,Besiktas,42 590
Gazprom Arena,Saint Petersburg,Zenit,67 800
NSC Olimpiyskiy Stadium,Kyiv,Shakhtar Donetsk,70 050
OSC Metalist,Kharkiv,Shakhtar Donetsk,41 307
Matmut Atlantique,Bordeaux,Bordeaux,42 115
Alfredo di Stéfano Stadium,Madrid,Real Madrid,6 000
Estadio El Alcoraz,Huesca,Huesca,9 100
Estadio Municipal de Ipurua,Eibar,Eibar,8 164
Stade Bollaert-Delelis,Lens,Lens,38 223
Stade de la Mosson,Montpellier,Montpellier,20 484
Stade du Moustoir,Lorient,Lorient,16 787
Stadio Mario Rigamonti,Brescia,Brescia,19 500
Holstein-Stadion,Kiel,Holstein Kiel,15 034
PreZero Arena,Sinsheim,Hoffenheim,30 150
Mewa Arena,Mainz,Mainz,34 000
Schüco Arena,Bielefeld,Arminia Bielefeld,27 332
Voith-Arena,Heidenheim,Heidenheim,15 000
Merck-Stadion am Bollenfalltor,Darmstadt,Darmstadt,17 810
Cardiff City Stadium,Cardiff,Cardiff,33 280
Sportpark Ronhof Thomas Sommer,Fürth,Greuther Furth,16 626
Stade François Coty,Ajaccio,AC Ajaccio,10 446
Stade Raymond-Kopa,Angers,Angers,18 752
Stade Gabriel Montpied,Clermont-Ferrand,Clermont,10 800
Stade Auguste-Delaune,Reims,Reims,21 029
Estadio de Gran Canaria,Las Palmas,Las Palmas,32 392
Estadio Municipal de Montilivi,Girona,Girona,14 624
Estadio Municipal de Riazor,La Coruña,Dep. La Coruna,34 889
Stade de Roudourou,Guingamp,Guingamp,19 060
Stade des Costières,Nîmes,Nimes,18 364
RZD Arena,Moscow,Lokomotiv Moscow,27 084
Maurice Dufrasnestadion,Liège,St. Liege,27 670
Luzhniki Arena,Moscow,CSKA Moscow,8 300
Olympic Stadium of Athens,Athens,AEK Athens FC,75 000
Borisov Arena,Barysaw,BATE,13 126
Stadio Giuseppe Meazza,Milan,Atalanta,80 018
Estádio José Alvalade,Lisbon,Manchester City,50 466
Fortuna Arena,Prague,Slavia Prague,19 370
Neo GSP Stadium,Nicosia,APOEL,22 859
Stadionul Dr. Constantin Rădulescu,Cluj-Napoca,CFR Cluj,22 198
Georgios Karaiskakis Stadium,Piraeus,Olympiacos Piraeus,33 296
Linzer Stadion,Linz,LASK,21 005
Estádio da Luz,Lisbon,RB Leipzig,64 642
Cegeka Arena,Genk,Genk,23 718
Estádio da Luz,Lisbon,Atalanta,64 642
Krasnodar Stadium,Krasnodar,Krasnodar,35 179
Estádio José Alvalade,Lisbon,Lyon,50 466
