2024-07-18 01:46:14.319 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Javier_Pastore', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/PSG-Shakhter15_%2812%29.jpg/150px-PSG-Shakhter15_%2812%29.jpg' WHERE ID = 18
2024-07-18 01:46:16.137 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Diego_Perotti', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rus-Arg_2017_%285%29.jpg/200px-Rus-Arg_2017_%285%29.jpg' WHERE ID = 19
2024-07-18 01:46:17.593 | ERROR    | __main__:<module>:line:24 | Error Occured: 'NoneType' object is not subscriptable
2024-07-18 01:46:17.594 | ERROR    | __main__:<module>:line:25 | Error ID: '20'
2024-07-18 01:46:20.233 | ERROR    | __main__:<module>:line:24 | Error Occured: 'NoneType' object is not subscriptable
2024-07-18 01:46:20.235 | ERROR    | __main__:<module>:line:25 | Error ID: '21'
2024-07-18 01:46:22.347 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Iv%C3%A1n_Marcano', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Ivan_Marcano_2013.jpg/120px-Ivan_Marcano_2013.jpg' WHERE ID = 22
2024-07-18 01:46:24.643 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Antonio_Mirante', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/AntonioMirante.png/120px-AntonioMirante.png' WHERE ID = 23
2024-07-18 01:46:26.921 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Luca_Pellegrini_(footballer,_born_1999)', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/UEFA_Youth_League_FC_Salzburg_gegen_AS_Roma_11_%28cropped%29.jpg/150px-UEFA_Youth_League_FC_Salzburg_gegen_AS_Roma_11_%28cropped%29.jpg' WHERE ID = 24
2024-07-18 01:46:29.158 | ERROR    | __main__:<module>:line:24 | Error Occured: 'NoneType' object is not subscriptable
2024-07-18 01:46:29.159 | ERROR    | __main__:<module>:line:25 | Error ID: '25'
2024-07-18 01:46:31.467 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Luciano_Spalletti', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Luciano_Spalletti_2024.jpg/120px-Luciano_Spalletti_2024.jpg' WHERE ID = 26
2024-07-18 01:46:33.701 | ERROR    | __main__:<module>:line:24 | Error Occured: 'NoneType' object is not subscriptable
2024-07-18 01:46:33.703 | ERROR    | __main__:<module>:line:25 | Error ID: '27'
2024-07-18 01:46:35.936 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Radja_Nainggolan', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/2017_RUS_v_BEL_exhibition_-_Radja_Nainggolan_%28cropped%29.jpg/120px-2017_RUS_v_BEL_exhibition_-_Radja_Nainggolan_%28cropped%29.jpg' WHERE ID = 28
2024-07-18 01:46:38.580 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Kwadwo_Asamoah', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Kwadwo_Asamoah_20140816_%28cropped%29_%282%29.jpg/120px-Kwadwo_Asamoah_20140816_%28cropped%29_%282%29.jpg' WHERE ID = 29
2024-07-18 01:46:40.641 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Keita_Bald%C3%A9', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Keita_Bald%C3%A9_2022.jpg/120px-Keita_Bald%C3%A9_2022.jpg' WHERE ID = 30
2024-07-18 01:46:43.220 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Marcelo_Brozovi%C4%87', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Marcelo_Brozovi%C4%87_2021_%28cropped%29.jpg/120px-Marcelo_Brozovi%C4%87_2021_%28cropped%29.jpg' WHERE ID = 31
2024-07-18 01:46:45.305 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Danilo_D%27Ambrosio', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Danilo_DAmbrosio_20140802.jpg/180px-Danilo_DAmbrosio_20140802.jpg' WHERE ID = 32
2024-07-18 01:46:47.214 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Stefan_de_Vrij', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/FC_Salzburg_gegen_Inter_Mailand_%28Testspiel_2023-08-09%29_67_-_Stefan_de_Vrij_%28cropped%29.jpg/150px-FC_Salzburg_gegen_Inter_Mailand_%28Testspiel_2023-08-09%29_67_-_Stefan_de_Vrij_%28cropped%29.jpg' WHERE ID = 33
2024-07-18 01:46:49.506 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Samir_Handanovi%C4%87', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Samir_Handanovi%C4%87_Slovenia.jpg/150px-Samir_Handanovi%C4%87_Slovenia.jpg' WHERE ID = 34
2024-07-18 01:46:51.423 | ERROR    | __main__:<module>:line:24 | Error Occured: 'NoneType' object is not subscriptable
2024-07-18 01:46:51.424 | ERROR    | __main__:<module>:line:25 | Error ID: '35'
2024-07-18 01:46:53.537 | INFO     | __main__:<module>:line:21 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Jo%C3%A3o_M%C3%A1rio_(footballer,_born_January_1993)', player_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Joao_Mario_2021.jpg/120px-Joao_Mario_2021.jpg' WHERE ID = 36
