2024-07-21 18:08:31.288 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '19'
2024-07-21 18:08:35.373 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Davide_Massa'WHERE ID = 19
2024-07-21 18:08:41.433 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '20'
2024-07-21 18:08:45.679 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2023%E2%80%9324_Venezia_FC_season'WHERE ID = 20
2024-07-21 18:08:49.406 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '21'
2024-07-21 18:08:52.559 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Paul_Tierney_(referee)'WHERE ID = 21
2024-07-21 18:08:57.782 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Stuart_Attwell', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Stuart_Attwell_%28cropped%29.jpg/150px-Stuart_Attwell_%28cropped%29.jpg' WHERE ID = 22
2024-07-21 18:09:02.712 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Michael_Oliver_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Michael_Oliver_in_2014.jpeg/120px-Michael_Oliver_in_2014.jpeg' WHERE ID = 23
2024-07-21 18:09:07.833 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Martin_Atkinson', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Martin_Atkinson_%28cropped%29.jpg/150px-Martin_Atkinson_%28cropped%29.jpg' WHERE ID = 24
2024-07-21 18:09:11.445 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Mike_Dean_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/MikeDeanDecember2016.jpg/120px-MikeDeanDecember2016.jpg' WHERE ID = 25
2024-07-21 18:09:14.357 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Andre_Marriner', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Andre_Marriner_2013.jpg/150px-Andre_Marriner_2013.jpg' WHERE ID = 26
2024-07-21 18:09:18.798 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Jon_Moss_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Jonathan_Moss_ref.jpg/120px-Jonathan_Moss_ref.jpg' WHERE ID = 27
2024-07-21 18:09:22.828 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '28'
2024-07-21 18:09:26.911 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Andrew_Madley'WHERE ID = 28
2024-07-21 18:09:30.530 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Craig_Pawson', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Austria_vs._Russia_20141115_%28094%29.jpg/150px-Austria_vs._Russia_20141115_%28094%29.jpg' WHERE ID = 29
2024-07-21 18:09:34.784 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Anthony_Taylor_(referee)', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Chelsea_2_Spurs_0_Capital_One_Cup_winners_2015_%2816692371952%29_%28cropped%29_%28cropped%29.jpg/120px-Chelsea_2_Spurs_0_Capital_One_Cup_winners_2015_%2816692371952%29_%28cropped%29_%28cropped%29.jpg' WHERE ID = 30
2024-07-21 18:09:38.362 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '31'
2024-07-21 18:09:41.672 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Graham_Scott_(referee)'WHERE ID = 31
2024-07-21 18:09:45.827 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '32'
2024-07-21 18:09:49.257 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/David_Coote_(referee)'WHERE ID = 32
2024-07-21 18:09:53.032 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '33'
2024-07-21 18:09:56.016 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Robert_Jones_(referee)'WHERE ID = 33
2024-07-21 18:09:59.911 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '34'
2024-07-21 18:10:03.451 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Chris_Kavanagh_(referee)'WHERE ID = 34
2024-07-21 18:10:09.015 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '35'
2024-07-21 18:10:13.170 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Peter_Bankes'WHERE ID = 35
2024-07-21 18:10:18.468 | INFO     | Search:search_referee:line:78 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/Kevin_Friend', referee_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Kevin_Friend.jpg/200px-Kevin_Friend.jpg' WHERE ID = 36
2024-07-21 18:10:22.584 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '37'
2024-07-21 18:10:25.558 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2023%E2%80%9324_Coppa_Italia'WHERE ID = 37
2024-07-21 18:10:29.986 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '38'
2024-07-21 18:10:33.186 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2023%E2%80%9324_Juventus_FC_season'WHERE ID = 38
2024-07-21 18:10:37.792 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '39'
2024-07-21 18:10:41.831 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_qualifying_phase_and_play-off_round'WHERE ID = 39
2024-07-21 18:10:46.824 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '40'
2024-07-21 18:10:50.020 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2018%E2%80%9319_Under_20_Elite_League'WHERE ID = 40
2024-07-21 18:10:54.413 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '41'
2024-07-21 18:10:58.417 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/2023_Supercoppa_Italiana'WHERE ID = 41
2024-07-21 18:11:01.170 | ERROR    | Search:search_referee:line:82 | Lack of referee_image_url for ID: '42'
2024-07-21 18:11:03.479 | INFO     | Search:search_referee:line:95 | UPDATE referee SET referee_url = 'https://wikipedia.org/wiki/EuroBasket_1937'WHERE ID = 42
