2024-08-15 01:35:17.184 | ERROR    | DetailSpider:run:line:222 | 5315
2024-08-15 01:35:17.185 | ERROR    | DetailSpider:run:line:223 | Page id "redeem harper" does not match any pages. Try another id!
2024-08-15 01:35:19.723 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/c/c8/Josh_Cullen_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 5316
2024-08-15 01:35:22.049 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/1/1e/Will_Norris_03-09-2016.jpg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 5317
2024-08-15 01:35:24.376 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 5318
2024-08-15 01:35:26.858 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 5319
2024-08-15 01:35:29.456 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 5320
2024-08-15 01:35:31.147 | ERROR    | DetailSpider:run:line:222 | 5321
2024-08-15 01:35:31.148 | ERROR    | DetailSpider:run:line:223 | Page id "sidney tavares" does not match any pages. Try another id!
2024-08-15 01:35:32.770 | ERROR    | DetailSpider:run:line:222 | 5322
2024-08-15 01:35:32.771 | ERROR    | DetailSpider:run:line:223 | Page id "kaine kesler hayden" does not match any pages. Try another id!
2024-08-15 01:35:34.426 | ERROR    | DetailSpider:run:line:222 | 5323
2024-08-15 01:35:34.426 | ERROR    | DetailSpider:run:line:223 | Page id "matt mackey" does not match any pages. Try another id!
2024-08-15 01:35:37.038 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/en/b/be/Flag_of_England.svg", "https://upload.wikimedia.org/wikipedia/en/4/4e/Soccerball_mask.svg"]' WHERE ID = 5324
2024-08-15 01:35:39.276 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 5325
2024-08-15 01:35:40.855 | ERROR    | DetailSpider:run:line:222 | 5326
2024-08-15 01:35:40.855 | ERROR    | DetailSpider:run:line:223 | Page id "taylor gardner hickman" does not match any pages. Try another id!
2024-08-15 01:35:43.294 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 5327
2024-08-15 01:35:44.236 | ERROR    | DetailSpider:run:line:222 | 5328
2024-08-15 01:35:44.236 | ERROR    | DetailSpider:run:line:223 | Page id "harry jane" does not match any pages. Try another id!
2024-08-15 01:35:46.704 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 5329
2024-08-15 01:35:49.290 | ERROR    | DetailSpider:run:line:222 | 5330
2024-08-15 01:35:49.291 | ERROR    | DetailSpider:run:line:223 | "Toby King" may refer to: 
Toby King (footballer, born 1970)
Toby King (rugby league)
Toby King (footballer, born 2002)
2024-08-15 01:35:51.656 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/0/07/Francisco_L%C3%B3pez_Fern%C3%A1ndez_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/1/18/Paco_L%C3%B3pez.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg"]' WHERE ID = 5331
2024-08-15 01:36:17.804 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20231030041238%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20231030023018%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20220810033840%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20220807194841%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20211103204712%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20210826154501%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20190218151039%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20190218145835%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20190217091803%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20190202192232%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20190202190928%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20171225085104%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20171225035736%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20151013125319%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20151013121521%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20151013071850%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20131011233849%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20131011223027%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20131011222927%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20081125071753%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060821002854%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060603214648%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060520173201%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060224015428%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060223155303%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060223153556%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060202165600%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060201005916%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060131104414%21Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/archive/2/21/20060131104322%21Flag_of_Colombia.svg"]' WHERE ID = 5332
2024-08-15 01:36:19.346 | ERROR    | DetailSpider:run:line:222 | 5333
2024-08-15 01:36:19.346 | ERROR    | DetailSpider:run:line:223 | Page id "tino name" does not match any pages. Try another id!
2024-08-15 01:36:20.942 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/1/13/Hernani.jpg"]' WHERE ID = 5334
2024-08-15 01:36:23.301 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/f/f2/CSC_0149_%2829636216028%29_Perea_%28cropped%29.jpg"]' WHERE ID = 5335
2024-08-15 01:36:24.727 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg", "https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg", "https://upload.wikimedia.org/wikipedia/commons/0/02/Flag_of_Gibraltar.svg", "https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg", "https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg", "https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg", "https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg", "https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg", "https://upload.wikimedia.org/wikipedia/en/4/4e/Soccerball_mask.svg"]' WHERE ID = 5336
2024-08-15 01:36:27.182 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 5337
2024-08-15 01:36:29.735 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/2/26/%C3%81ngel_Mar%C3%ADa_Villar.jpg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 5338
2024-08-15 01:36:30.434 | ERROR    | DetailSpider:run:line:222 | 5339
2024-08-15 01:36:30.434 | ERROR    | DetailSpider:run:line:223 | Page id "adrian peter so" does not match any pages. Try another id!
2024-08-15 01:36:33.961 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/7/76/12AbdulRahmanBaba.jpg", "https://upload.wikimedia.org/wikipedia/commons/d/d8/2018-08-17_1._FC_Schweinfurt_05_vs._FC_Schalke_04_%28DFB-Pokal%29_by_Sandro_Halank%E2%80%93128.jpg", "https://upload.wikimedia.org/wikipedia/commons/1/16/2018_Baba_Rahman_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/1/13/Baba_Rahman_20160416.jpg", "https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg", "https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe.svg", "https://upload.wikimedia.org/wikipedia/commons/f/ff/Wikidata-logo.svg", "https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 5340
2024-08-15 01:36:36.406 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/1/1d/Aridai_Cabrera_S%28cropped%29.JPG"]' WHERE ID = 5341
2024-08-15 01:36:38.889 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '[]' WHERE ID = 5342
