2024-07-24 10:55:29.004 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Friuli', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/DaciArena.jpg/150px-DaciArena.jpg' WHERE ID = 12
2024-07-24 10:55:32.384 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Olimpico_Grande_Torino', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Juventus_v_Chelsea%2C_Champions_League%2C_Stadio_Olimpico%2C_Turin%2C_2009.jpg/120px-Juventus_v_Chelsea%2C_Champions_League%2C_Stadio_Olimpico%2C_Turin%2C_2009.jpg' WHERE ID = 13
2024-07-24 10:55:35.116 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Luigi_Ferraris', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Stadio_Luigi_Ferraris_di_Genova.jpg/150px-Stadio_Luigi_Ferraris_di_Genova.jpg' WHERE ID = 14
2024-07-24 10:55:38.364 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Ennio_Tardini', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Stadio_Ennio_Tardini_%28Parma%29_-_arco_d%27ingresso_2_2020-02-08.jpg/120px-Stadio_Ennio_Tardini_%28Parma%29_-_arco_d%27ingresso_2_2020-02-08.jpg' WHERE ID = 15
2024-07-24 10:55:42.213 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Stadio_Benito_Stirpe', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Benito_Stirpe_panoramica_Frosinone_Foggia.JPG/180px-Benito_Stirpe_panoramica_Frosinone_Foggia.JPG' WHERE ID = 16
2024-07-24 10:55:44.150 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Tottenham_Hotspur_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/London_Tottenham_Hotspur_Stadium.jpg/150px-London_Tottenham_Hotspur_Stadium.jpg' WHERE ID = 17
2024-07-24 10:55:47.704 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/City_of_Manchester_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Manchester_city_etihad_stadium_%28cropped%29.jpg/150px-Manchester_city_etihad_stadium_%28cropped%29.jpg' WHERE ID = 18
2024-07-24 10:55:51.385 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Turf_Moor', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Turf_Moor_-_Harry_Potts_Way_%28east%29.jpg/180px-Turf_Moor_-_Harry_Potts_Way_%28east%29.jpg' WHERE ID = 19
2024-07-24 10:55:53.628 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Old_Trafford', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Manchester_United_Panorama_%288051523746%29.jpg/200px-Manchester_United_Panorama_%288051523746%29.jpg' WHERE ID = 20
2024-07-24 10:55:56.816 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Elland_Road', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Leeds_elland_road_stadium.jpg/150px-Leeds_elland_road_stadium.jpg' WHERE ID = 21
2024-07-24 10:55:58.971 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Goodison_Park', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Liverpool_fc_everton_stadium.jpg/150px-Liverpool_fc_everton_stadium.jpg' WHERE ID = 22
2024-07-24 10:56:02.805 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Carrow_Road', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Carrow_Road_exterior.jpg/150px-Carrow_Road_exterior.jpg' WHERE ID = 23
2024-07-24 10:56:05.618 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Falmer_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Falmer_Stadium_-_night.jpg/150px-Falmer_Stadium_-_night.jpg' WHERE ID = 24
2024-07-24 10:56:08.386 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/London_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/London_Olympic_Stadium_West_Ham.jpg/150px-London_Olympic_Stadium_West_Ham.jpg' WHERE ID = 25
2024-07-24 10:56:14.004 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/King_Power_Stadium', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Leicester_city_king_power_stadium.jpg/150px-Leicester_city_king_power_stadium.jpg' WHERE ID = 27
2024-07-24 10:56:16.452 | INFO     | Search:search_venue:line:185 | UPDATE venue SET venue_url = 'https://wikipedia.org/wiki/Battle_of_Stamford_Bridge', venue_image_url = 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Battle_of_Stamford_Bridge%2C_full.png/180px-Battle_of_Stamford_Bridge%2C_full.png' WHERE ID = 28
