2024-08-14 17:39:04.499 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg", "https://upload.wikimedia.org/wikipedia/commons/b/bc/Mesut_%C3%96zil_and_Steven_NZonzi_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/2/21/NzonziSevilla%28cropped%29.png", "https://upload.wikimedia.org/wikipedia/commons/1/10/Steven_N%27Zonzi.jpg", "https://upload.wikimedia.org/wikipedia/commons/5/5d/Steven_N%27Zonzi_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/b/bd/Steven_Nzonzi_2018.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 11
2024-08-14 17:39:06.824 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/f/ff/Robin_Olsen_%282014%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/f/fc/Robin_Olsen_%28vs._AIK_in_2013%2C_cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/7/72/Russia-Sweden_2015_%289%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/9/94/SWE-SWI_%288%29_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 12
2024-08-14 17:39:08.344 | ERROR    | DetailSpider:run:line:222 | 13
2024-08-14 17:39:08.345 | ERROR    | DetailSpider:run:line:223 | Page id "davide santo" does not match any pages. Try another id!
2024-08-14 17:39:09.826 | ERROR    | DetailSpider:run:line:222 | 14
2024-08-14 17:39:09.827 | ERROR    | DetailSpider:run:line:223 | Page id "patrick schick" does not match any pages. Try another id!
2024-08-14 17:39:12.085 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/6/6c/Cengiz_%C3%9Cnder.jpg", "https://upload.wikimedia.org/wikipedia/commons/c/c2/Cengiz_%C3%9Cnder_2018.jpg", "https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg", "https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg", "https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg", "https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg", "https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg", "https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg", "https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg", "https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg", "https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_Scotland.svg", "https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg", "https://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_the_Faroe_Islands.svg", "https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg", "https://upload.wikimedia.org/wikipedia/commons/c/c4/Shaht-Roma_%282%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/6/67/%C3%9Cnder_Turkey.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg", "https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg", "https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg"]' WHERE ID = 15
2024-08-14 17:39:14.431 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/8/89/Bronze_medal_icon.svg", "https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg", "https://upload.wikimedia.org/wikipedia/commons/8/81/Nicol%C3%B2_Zaniolo_con_l%27Italia_U19.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg", "https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg"]' WHERE ID = 16
2024-08-14 17:39:16.641 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg", "https://upload.wikimedia.org/wikipedia/commons/2/20/Justin_Kluivert_2018.jpg", "https://upload.wikimedia.org/wikipedia/commons/4/4f/Justin_Kluivert_2023.jpg", "https://upload.wikimedia.org/wikipedia/commons/2/2a/RC_Lens_-_OGC_Nice_%2810-04-2022%29_13.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg", "https://upload.wikimedia.org/wikipedia/en/e/ec/Soccer_ball.svg"]' WHERE ID = 17
2024-08-14 17:39:18.254 | ERROR    | DetailSpider:run:line:222 | 18
