2024-07-21 18:27:23.759 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3775'
2024-07-21 18:27:26.572 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Fabio_Chiarodia'WHERE ID = 3775
2024-07-21 18:27:30.286 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3776'
2024-07-21 18:27:33.493 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Eren_Dink%C3%A7i'WHERE ID = 3776
2024-07-21 18:27:37.663 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3777'
2024-07-21 18:27:41.054 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Jean-Manuel_Mbom'WHERE ID = 3777
2024-07-21 18:27:44.601 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3780'
2024-07-21 18:27:46.925 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Niklas_Dorsch'WHERE ID = 3780
2024-07-21 18:27:50.238 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3782'
2024-07-21 18:27:52.545 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Noah_Sarenren_Bazee'WHERE ID = 3782
2024-07-21 18:27:56.499 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3783'
2024-07-21 18:27:59.633 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Tobias_Strobl'WHERE ID = 3783
2024-07-21 18:28:03.491 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3784'
2024-07-21 18:28:07.326 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Felix_Uduokhai'WHERE ID = 3784
2024-07-21 18:28:14.145 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3785'
2024-07-21 18:28:23.685 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Maximilian_Bauer_(footballer,_born_2000)'WHERE ID = 3785
2024-07-21 18:28:30.060 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3787'
2024-07-21 18:28:41.473 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Ermedin_Demirovi%C4%87'WHERE ID = 3787
2024-07-21 18:28:45.991 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3789'
2024-07-21 18:28:49.752 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Jeffrey_Gouweleeuw'WHERE ID = 3789
2024-07-21 18:28:54.370 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3795'
2024-07-21 18:28:59.432 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Elvis_Rexhbe%C3%A7aj'WHERE ID = 3795
2024-07-21 18:29:03.706 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3797'
2024-07-21 18:29:08.442 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Mads_Pedersen'WHERE ID = 3797
2024-07-21 18:29:12.487 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3798'
2024-07-21 18:29:16.700 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Lukas_Petkov'WHERE ID = 3798
2024-07-21 18:29:22.139 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3799'
2024-07-21 18:29:26.204 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Ruben_Vargas'WHERE ID = 3799
2024-07-21 18:29:30.655 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3803'
2024-07-21 18:29:35.304 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Klein_(surname)'WHERE ID = 3803
2024-07-21 18:29:40.582 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3806'
2024-07-21 18:29:44.652 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Sargis_Adamyan'WHERE ID = 3806
2024-07-21 18:29:49.100 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3808'
2024-07-21 18:29:52.852 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Florian_Dietz'WHERE ID = 3808
2024-07-21 18:29:56.782 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3815'
2024-07-21 18:29:59.995 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Linton_Maina'WHERE ID = 3815
2024-07-21 18:30:04.352 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3821'
2024-07-21 18:30:06.471 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Denis_Huseinba%C5%A1i%C4%87'WHERE ID = 3821
2024-07-21 18:30:10.136 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3824'
2024-07-21 18:30:14.102 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Kingsley_Schindler'WHERE ID = 3824
2024-07-21 18:30:18.669 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3829'
2024-07-21 18:30:21.183 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Mathias_Olesen'WHERE ID = 3829
2024-07-21 18:30:26.491 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3833'
2024-07-21 18:30:31.445 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Paxten_Aaronson'WHERE ID = 3833
2024-07-21 18:30:36.111 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3835'
2024-07-21 18:30:38.686 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/M%C3%A1rton_D%C3%A1rdai'WHERE ID = 3835
2024-07-21 18:30:41.972 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3849'
2024-07-21 18:30:45.572 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Tjark_Ernst'WHERE ID = 3849
2024-07-21 18:30:49.517 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3869'
2024-07-21 18:30:52.881 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Lilian_Egloff'WHERE ID = 3869
2024-07-21 18:30:58.624 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3888'
2024-07-21 18:31:02.069 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Paul_Seguin'WHERE ID = 3888
2024-07-21 18:31:05.679 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3895'
2024-07-21 18:31:09.404 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Noah_Katterbach'WHERE ID = 3895
2024-07-21 18:31:14.592 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3896'
2024-07-21 18:31:18.427 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Tom_Mickel'WHERE ID = 3896
2024-07-21 18:31:22.019 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3898'
2024-07-21 18:31:25.534 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Mario_Vu%C5%A1kovi%C4%87'WHERE ID = 3898
2024-07-21 18:31:29.687 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3899'
2024-07-21 18:31:32.312 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Jonas_David'WHERE ID = 3899
2024-07-21 18:31:36.132 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3900'
2024-07-21 18:31:39.406 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Jean-Luc_Domp%C3%A9'WHERE ID = 3900
2024-07-21 18:31:43.140 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3902'
2024-07-21 18:31:46.532 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Daniel_Heuer_Fernandes'WHERE ID = 3902
2024-07-21 18:31:50.793 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3903'
2024-07-21 18:31:54.884 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Moritz_Heyer'WHERE ID = 3903
2024-07-21 18:31:58.477 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3904'
2024-07-21 18:32:01.256 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Bakery_Jatta'WHERE ID = 3904
2024-07-21 18:32:05.063 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3907'
2024-07-21 18:32:09.280 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Miro_Muheim'WHERE ID = 3907
2024-07-21 18:32:13.457 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3908'
2024-07-21 18:32:16.525 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Ludovit_Reis'WHERE ID = 3908
2024-07-21 18:32:19.527 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3909'
2024-07-21 18:32:22.936 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Sebastian_Schonlau'WHERE ID = 3909
2024-07-21 18:32:26.912 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3911'
2024-07-21 18:32:29.985 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Anssi_Suhonen'WHERE ID = 3911
2024-07-21 18:32:33.525 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3912'
2024-07-21 18:32:37.383 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Filip_Bilbija'WHERE ID = 3912
2024-07-21 18:32:42.471 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3913'
2024-07-21 18:32:45.793 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Ogechika_Heil'WHERE ID = 3913
2024-07-21 18:32:50.761 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3914'
2024-07-21 18:32:55.331 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Elijah_Krahn'WHERE ID = 3914
2024-07-21 18:32:59.050 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3915'
2024-07-21 18:33:02.572 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/William_Mikelbrencis'WHERE ID = 3915
2024-07-21 18:33:06.779 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3917'
2024-07-21 18:33:11.486 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Nicolas_Oliveira_(footballer,_born_2004)'WHERE ID = 3917
2024-07-21 18:33:15.256 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3920'
2024-07-21 18:33:19.858 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Thomas_Kastanaras'WHERE ID = 3920
2024-07-21 18:33:23.544 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3922'
2024-07-21 18:33:27.298 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Dennis_Seimen'WHERE ID = 3922
2024-07-21 18:33:31.872 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3932'
2024-07-21 18:33:34.942 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Jan_Olschowsky'WHERE ID = 3932
2024-07-21 18:33:39.987 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3933'
2024-07-21 18:33:43.743 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Joe_Scally'WHERE ID = 3933
2024-07-21 18:33:47.418 | ERROR    | Search:search_player:line:46 | Lack of player_image_url for ID: '3938'
2024-07-21 18:33:50.654 | INFO     | Search:search_player:line:59 | UPDATE players SET player_url = 'https://wikipedia.org/wiki/Luca_Netz'WHERE ID = 3938
