2024-08-14 18:42:11.024 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/2/27/Bernard_2012_01.jpg", "https://upload.wikimedia.org/wikipedia/commons/0/0d/Bernard_An%C3%ADcio_Caldeira_Duarte_2015.jpg", "https://upload.wikimedia.org/wikipedia/commons/a/af/Bernard_An%C3%ADcio_Caldeira_Duarte_2015b.jpg", "https://upload.wikimedia.org/wikipedia/commons/2/25/Brazil_and_Croatia_match_at_the_FIFA_World_Cup_2014-06-12_%2832%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 1645
2024-08-14 18:42:13.505 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg", "https://upload.wikimedia.org/wikipedia/commons/f/f3/Manchester_United_v_Everton%2C_17_September_2017_%2821%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/4/4a/Morgan_Schneiderlin_-_France_v_Armenia_2014.jpg", "https://upload.wikimedia.org/wikipedia/commons/b/b4/Morgan_Schneiderlin_2.jpg", "https://upload.wikimedia.org/wikipedia/commons/4/4a/Young%2C_Schneiderlin_-_July_2015.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 1646
2024-08-14 18:42:15.842 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/f/f7/Djibril_Sidib%C3%A9.jpg", "https://upload.wikimedia.org/wikipedia/commons/3/37/Djibril_Sidib%C3%A9_World_Cup_Trophy.jpg", "https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/b/be/Flag_of_England.svg", "https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 1647
2024-08-14 18:42:18.238 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/1/1b/Audi-_quattro-Cup_30.JPG", "https://upload.wikimedia.org/wikipedia/commons/2/21/Ebecilio_Stekelenburg_Van_der_Wiel.jpg", "https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg", "https://upload.wikimedia.org/wikipedia/commons/7/7b/Maarten_Stekelenburg.JPG", "https://upload.wikimedia.org/wikipedia/commons/5/59/Michael_Krohn-Dehli_-_Maarten_Stekelenburg_20120609.jpg", "https://upload.wikimedia.org/wikipedia/commons/6/67/Stekelenburg_Audi_quattro-Cup_44.JPG", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 1648
2024-08-14 18:42:20.520 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/0/0c/%28Vallejo%29_Ofrenda_de_la_Liga_y_la_Champions-11-L.Mill%C3%A1n_%2852109312343%29_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/e/ee/Jesus_Vallejo.jpg", "https://upload.wikimedia.org/wikipedia/commons/9/91/Silver_medal_icon_%28S_initial%29.svg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 1649
2024-08-14 18:42:22.148 | ERROR    | DetailSpider:run:line:222 | 1650
2024-08-14 18:42:22.148 | ERROR    | DetailSpider:run:line:223 | Page id "benny ashley seal" does not match any pages. Try another id!
2024-08-14 18:42:24.469 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/0/09/Goncalo_Cardoso.jpg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 1651
2024-08-14 18:42:26.845 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/6/60/Bronze_medal_icon_%28B_initial%29.svg", "https://upload.wikimedia.org/wikipedia/commons/6/6d/Carlos_Sanchez_Moreno.png", "https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg", "https://upload.wikimedia.org/wikipedia/commons/1/1c/Hertha_BSC_vs._West_Ham_United_20190731_%28157%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/0/09/Hertha_BSC_vs._West_Ham_United_20190731_%28161%29.jpg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 1652
2024-08-14 18:42:29.218 | INFO     | DetailSpider:image_get:line:115 | UPDATE players SET IMAGES = '["https://upload.wikimedia.org/wikipedia/commons/c/cd/17_Merci_Ars%C3%A8ne_-_Celebrating_Kolasinac%27s_goal_%2827086257377%29_%28cropped%29.jpg", "https://upload.wikimedia.org/wikipedia/commons/1/19/Dinos_mavropanos.jpg", "https://upload.wikimedia.org/wikipedia/commons/0/02/Flag_of_Gibraltar.svg", "https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg", "https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg"]' WHERE ID = 1653
